Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind
26032018T191933,63657688773609,1,-1,-1,9,0.85,1,False,True,False
26032018T191936,63657688776278,1,0,target2,9,0.85,1,False,True,False
26032018T191936,63657688776937,1,1,target4,9,0.85,1,False,True,False
26032018T191937,63657688777529,1,2,target0,9,0.85,1,False,True,False
26032018T191938,63657688778188,1,3,target3,9,0.85,1,False,True,False
26032018T191938,63657688778736,1,4,target5,9,0.85,1,False,True,False
26032018T191939,63657688779226,1,5,target6,9,0.85,1,False,True,False
26032018T191939,63657688779821,1,6,target7,9,0.85,1,False,True,False
26032018T191940,63657688780690,1,7,target1,9,0.85,1,False,True,False
26032018T191941,63657688781314,1,8,target8,9,0.85,1,False,True,False
26032018T191941,63657688781365,2,-1,-1,9,0.85,1,False,True,False
26032018T191942,63657688782032,2,0,target8,9,0.85,1,False,True,False
26032018T191942,63657688782647,2,1,target5,9,0.85,1,False,True,False
26032018T191943,63657688783580,2,2,target0,9,0.85,1,False,True,False
26032018T191944,63657688784254,2,3,target4,9,0.85,1,False,True,False
26032018T191944,63657688784904,2,4,target3,9,0.85,1,False,True,False
26032018T191945,63657688785750,2,5,target2,9,0.85,1,False,True,False
26032018T191946,63657688786600,2,6,target6,9,0.85,1,False,True,False
26032018T191947,63657688787147,2,7,target7,9,0.85,1,False,True,False
26032018T191947,63657688787841,2,8,target1,9,0.85,1,False,True,False
26032018T191947,63657688787854,3,-1,-1,9,0.85,1,False,True,False
26032018T191948,63657688788477,3,0,target0,9,0.85,1,False,True,False
26032018T191949,63657688789027,3,1,target4,9,0.85,1,False,True,False
26032018T191949,63657688789627,3,2,target2,9,0.85,1,False,True,False
26032018T191950,63657688790745,3,3,target5,9,0.85,1,False,True,False
26032018T191951,63657688791314,3,4,target7,9,0.85,1,False,True,False
26032018T191951,63657688791895,3,5,target6,9,0.85,1,False,True,False
26032018T191952,63657688792575,3,6,target3,9,0.85,1,False,True,False
26032018T191953,63657688793312,3,7,target1,9,0.85,1,False,True,False
26032018T191953,63657688793894,3,8,target8,9,0.85,1,False,True,False
26032018T191953,63657688793909,4,-1,-1,9,0.85,1,False,True,False
26032018T191954,63657688794529,4,0,target6,9,0.85,1,False,True,False
26032018T191955,63657688795085,4,1,target3,9,0.85,1,False,True,False
26032018T191955,63657688795810,4,2,target2,9,0.85,1,False,True,False
26032018T191956,63657688796455,4,3,target5,9,0.85,1,False,True,False
26032018T191957,63657688797102,4,4,target0,9,0.85,1,False,True,False
26032018T191957,63657688797929,4,5,target8,9,0.85,1,False,True,False
26032018T191958,63657688798889,4,6,target1,9,0.85,1,False,True,False
26032018T191959,63657688799555,4,7,target7,9,0.85,1,False,True,False
26032018T192000,63657688800516,4,8,target4,9,0.85,1,False,True,False
26032018T192000,63657688800529,5,-1,-1,9,0.85,1,False,True,False
26032018T192001,63657688801031,5,0,target4,9,0.85,1,False,True,False
26032018T192001,63657688801694,5,1,target6,9,0.85,1,False,True,False
26032018T192002,63657688802911,5,2,target5,9,0.85,1,False,True,False
26032018T192003,63657688803739,5,3,target1,9,0.85,1,False,True,False
26032018T192004,63657688804444,5,4,target7,9,0.85,1,False,True,False
26032018T192004,63657688804998,5,5,target8,9,0.85,1,False,True,False
26032018T192005,63657688805688,5,6,target2,9,0.85,1,False,True,False
26032018T192006,63657688806238,5,7,target3,9,0.85,1,False,True,False
26032018T192006,63657688806905,5,8,target0,9,0.85,1,False,True,False
26032018T192006,63657688806921,1,-1,-1,9,0.85,2,False,False,False
26032018T192008,63657688808413,1,0,target3,9,0.85,2,False,False,False
26032018T192014,63657688814334,1,1,target8,9,0.85,2,False,False,False
26032018T192015,63657688815828,1,2,target5,9,0.85,2,False,False,False
26032018T192016,63657688816501,1,3,target7,9,0.85,2,False,False,False
26032018T192017,63657688817144,1,4,target6,9,0.85,2,False,False,False
26032018T192017,63657688817841,1,5,target0,9,0.85,2,False,False,False
26032018T192019,63657688819147,1,6,target2,9,0.85,2,False,False,False
26032018T192020,63657688820369,1,7,target4,9,0.85,2,False,False,False
26032018T192021,63657688821012,1,8,target1,9,0.85,2,False,False,False
26032018T192021,63657688821025,2,-1,-1,9,0.85,2,False,False,False
26032018T192021,63657688821909,2,0,target3,9,0.85,2,False,False,False
26032018T192022,63657688822548,2,1,target5,9,0.85,2,False,False,False
26032018T192023,63657688823318,2,2,target4,9,0.85,2,False,False,False
26032018T192023,63657688823971,2,3,target7,9,0.85,2,False,False,False
26032018T192024,63657688824924,2,4,target0,9,0.85,2,False,False,False
26032018T192025,63657688825615,2,5,target2,9,0.85,2,False,False,False
26032018T192026,63657688826329,2,6,target6,9,0.85,2,False,False,False
26032018T192027,63657688827031,2,7,target1,9,0.85,2,False,False,False
26032018T192027,63657688827897,2,8,target8,9,0.85,2,False,False,False
26032018T192027,63657688827912,3,-1,-1,9,0.85,2,False,False,False
26032018T192028,63657688828567,3,0,target8,9,0.85,2,False,False,False
26032018T192029,63657688829147,3,1,target7,9,0.85,2,False,False,False
26032018T192029,63657688829894,3,2,target2,9,0.85,2,False,False,False
26032018T192030,63657688830486,3,3,target3,9,0.85,2,False,False,False
26032018T192031,63657688831188,3,4,target0,9,0.85,2,False,False,False
26032018T192031,63657688831839,3,5,target4,9,0.85,2,False,False,False
26032018T192032,63657688832383,3,6,target5,9,0.85,2,False,False,False
26032018T192032,63657688832895,3,7,target6,9,0.85,2,False,False,False
26032018T192033,63657688833982,3,8,target1,9,0.85,2,False,False,False
26032018T192033,63657688833995,4,-1,-1,9,0.85,2,False,False,False
26032018T192034,63657688834864,4,0,target2,9,0.85,2,False,False,False
26032018T192035,63657688835591,4,1,target0,9,0.85,2,False,False,False
26032018T192036,63657688836285,4,2,target1,9,0.85,2,False,False,False
26032018T192037,63657688837112,4,3,target5,9,0.85,2,False,False,False
26032018T192037,63657688837802,4,4,target3,9,0.85,2,False,False,False
26032018T192038,63657688838415,4,5,target7,9,0.85,2,False,False,False
26032018T192039,63657688839031,4,6,target4,9,0.85,2,False,False,False
26032018T192039,63657688839670,4,7,target8,9,0.85,2,False,False,False
26032018T192040,63657688840566,4,8,target6,9,0.85,2,False,False,False
26032018T192040,63657688840579,5,-1,-1,9,0.85,2,False,False,False
26032018T192041,63657688841978,5,0,target7,9,0.85,2,False,False,False
26032018T192042,63657688842995,5,1,target6,9,0.85,2,False,False,False
26032018T192043,63657688843506,5,2,target5,9,0.85,2,False,False,False
26032018T192044,63657688844773,5,3,target3,9,0.85,2,False,False,False
26032018T192045,63657688845654,5,4,target1,9,0.85,2,False,False,False
26032018T192046,63657688846390,5,5,target0,9,0.85,2,False,False,False
26032018T192046,63657688846865,5,6,target8,9,0.85,2,False,False,False
26032018T192047,63657688847821,5,7,target2,9,0.85,2,False,False,False
26032018T192048,63657688848558,5,8,target4,9,0.85,2,False,False,False
26032018T192048,63657688848573,1,-1,-1,9,0.85,3,False,False,True
26032018T192050,63657688850792,1,0,target8,9,0.85,3,False,False,True
26032018T192059,63657688859270,1,1,target5,9,0.85,3,False,False,True
26032018T192108,63657688868863,1,2,target3,9,0.85,3,False,False,True
26032018T192113,63657688873972,1,3,target4,9,0.85,3,False,False,True
26032018T192120,63657688880516,1,4,target2,9,0.85,3,False,False,True
26032018T192125,63657688885047,1,5,target6,9,0.85,3,False,False,True
26032018T192133,63657688893793,1,6,target1,9,0.85,3,False,False,True
26032018T192137,63657688897209,1,7,target7,9,0.85,3,False,False,True
26032018T192147,63657688907802,1,8,target0,9,0.85,3,False,False,True
26032018T192147,63657688907816,2,-1,-1,9,0.85,3,False,False,True
26032018T192152,63657688912927,2,0,target3,9,0.85,3,False,False,True
26032018T192153,63657688913956,2,1,target6,9,0.85,3,False,False,True
26032018T192206,63657688926156,2,2,target4,9,0.85,3,False,False,True
26032018T192217,63657688937514,2,3,target2,9,0.85,3,False,False,True
26032018T192222,63657688942284,2,4,target8,9,0.85,3,False,False,True
26032018T192236,63657688956937,2,5,target5,9,0.85,3,False,False,True
26032018T192242,63657688962314,2,6,target7,9,0.85,3,False,False,True
26032018T192248,63657688968362,2,7,target1,9,0.85,3,False,False,True
26032018T192252,63657688972722,2,8,target0,9,0.85,3,False,False,True
26032018T192252,63657688972737,3,-1,-1,9,0.85,3,False,False,True
26032018T192257,63657688977436,3,0,target1,9,0.85,3,False,False,True
26032018T192311,63657688991376,3,1,target7,9,0.85,3,False,False,True
26032018T192315,63657688995441,3,2,target4,9,0.85,3,False,False,True
26032018T192323,63657689003694,3,3,target8,9,0.85,3,False,False,True
26032018T192329,63657689009161,3,4,target3,9,0.85,3,False,False,True
26032018T192330,63657689010489,3,5,target6,9,0.85,3,False,False,True
26032018T192334,63657689014026,3,6,target5,9,0.85,3,False,False,True
26032018T192341,63657689021265,3,7,target2,9,0.85,3,False,False,True
26032018T192345,63657689025993,3,8,target0,9,0.85,3,False,False,True
26032018T192346,63657689026009,4,-1,-1,9,0.85,3,False,False,True
26032018T192351,63657689031138,4,0,target0,9,0.85,3,False,False,True
26032018T192357,63657689037248,4,1,target7,9,0.85,3,False,False,True
26032018T192402,63657689042344,4,2,target4,9,0.85,3,False,False,True
26032018T192407,63657689047816,4,3,target3,9,0.85,3,False,False,True
26032018T192411,63657689051034,4,4,target5,9,0.85,3,False,False,True
26032018T192424,63657689064440,4,5,target1,9,0.85,3,False,False,True
26032018T192429,63657689069065,4,6,target2,9,0.85,3,False,False,True
26032018T192433,63657689073584,4,7,target8,9,0.85,3,False,False,True
26032018T192443,63657689083014,4,8,target6,9,0.85,3,False,False,True
26032018T192443,63657689083027,5,-1,-1,9,0.85,3,False,False,True
26032018T192446,63657689086773,5,0,target3,9,0.85,3,False,False,True
26032018T192457,63657689097934,5,1,target0,9,0.85,3,False,False,True
26032018T192503,63657689103888,5,2,target8,9,0.85,3,False,False,True
26032018T192511,63657689111783,5,3,target5,9,0.85,3,False,False,True
26032018T192521,63657689121709,5,4,target1,9,0.85,3,False,False,True
26032018T192527,63657689127132,5,5,target6,9,0.85,3,False,False,True
26032018T192534,63657689134490,5,6,target2,9,0.85,3,False,False,True
26032018T192543,63657689143764,5,7,target4,9,0.85,3,False,False,True
26032018T192551,63657689151296,5,8,target7,9,0.85,3,False,False,True
26032018T192551,63657689151310,1,-1,-1,9,0.85,4,False,True,True
26032018T192555,63657689155369,1,0,target5,9,0.85,4,False,True,True
26032018T192600,63657689160601,1,1,target7,9,0.85,4,False,True,True
26032018T192601,63657689161830,1,2,target2,9,0.85,4,False,True,True
26032018T192610,63657689170919,1,3,target1,9,0.85,4,False,True,True
26032018T192618,63657689178046,1,4,target0,9,0.85,4,False,True,True
26032018T192620,63657689180815,1,5,target8,9,0.85,4,False,True,True
26032018T192624,63657689184530,1,6,target6,9,0.85,4,False,True,True
26032018T192625,63657689185092,1,7,target3,9,0.85,4,False,True,True
26032018T192628,63657689188433,1,8,target4,9,0.85,4,False,True,True
26032018T192628,63657689188450,2,-1,-1,9,0.85,4,False,True,True
26032018T192637,63657689197975,2,0,target6,9,0.85,4,False,True,True
26032018T192645,63657689205068,2,1,target8,9,0.85,4,False,True,True
26032018T192700,63657689220274,2,2,target2,9,0.85,4,False,True,True
26032018T192704,63657689224218,2,3,target4,9,0.85,4,False,True,True
26032018T192709,63657689229650,2,4,target7,9,0.85,4,False,True,True
26032018T192715,63657689235702,2,5,target0,9,0.85,4,False,True,True
26032018T192720,63657689240110,2,6,target3,9,0.85,4,False,True,True
26032018T192731,63657689251254,2,7,target1,9,0.85,4,False,True,True
26032018T192744,63657689264073,2,8,target5,9,0.85,4,False,True,True
26032018T192744,63657689264088,3,-1,-1,9,0.85,4,False,True,True
26032018T192759,63657689279857,3,0,target3,9,0.85,4,False,True,True
26032018T192811,63657689291914,3,1,target0,9,0.85,4,False,True,True
26032018T192821,63657689301838,3,2,target7,9,0.85,4,False,True,True
26032018T192828,63657689308232,3,3,target6,9,0.85,4,False,True,True
26032018T192842,63657689322763,3,4,target5,9,0.85,4,False,True,True
26032018T192854,63657689334464,3,5,target1,9,0.85,4,False,True,True
26032018T192905,63657689345300,3,6,target8,9,0.85,4,False,True,True
26032018T192920,63657689360180,3,7,target2,9,0.85,4,False,True,True
26032018T192945,63657689385064,3,8,target4,9,0.85,4,False,True,True
26032018T192945,63657689385077,4,-1,-1,9,0.85,4,False,True,True
26032018T193008,63657689408488,4,0,target7,9,0.85,4,False,True,True
26032018T193027,63657689427997,4,1,target1,9,0.85,4,False,True,True
26032018T193038,63657689438244,4,2,target2,9,0.85,4,False,True,True
26032018T193055,63657689455726,4,3,target6,9,0.85,4,False,True,True
26032018T193116,63657689476727,4,4,target3,9,0.85,4,False,True,True
26032018T193144,63657689504440,4,5,target8,9,0.85,4,False,True,True
26032018T193152,63657689512478,4,6,target0,9,0.85,4,False,True,True
26032018T193205,63657689525325,4,7,target5,9,0.85,4,False,True,True
26032018T193211,63657689531078,4,8,target4,9,0.85,4,False,True,True
26032018T193211,63657689531094,5,-1,-1,9,0.85,4,False,True,True
26032018T193242,63657689562932,5,0,target7,9,0.85,4,False,True,True
26032018T193257,63657689577498,5,1,target1,9,0.85,4,False,True,True
26032018T193311,63657689591673,5,2,target4,9,0.85,4,False,True,True
26032018T193315,63657689595421,5,3,target5,9,0.85,4,False,True,True
26032018T193326,63657689606539,5,4,target2,9,0.85,4,False,True,True
26032018T193331,63657689611197,5,5,target0,9,0.85,4,False,True,True
26032018T193343,63657689623880,5,6,target8,9,0.85,4,False,True,True
26032018T193419,63657689659104,5,7,target3,9,0.85,4,False,True,True
26032018T193427,63657689667886,5,8,target6,9,0.85,4,False,True,True
